eng,ind
"""You can't enjoy Bandung without its food. Kafe Halaman offers you traditional Indonesian food. The gado-gado is tasty, the fried banana with cheese is also good, and a nice cup of coffee while waiting for your friends to come is always enticing ""","""Menikmati kota bandung tanpa kuliner, kurang seru, kafe halaman, menyajikan makanan indonesia, gado gadonya enak, pisang goreng kejunya juga enak serta secangkir kopi sambil menunggu teman datang sangatlah menarik"""
"""Agree that with a higher phase, the cost to tickets should get higher. But, the base price during the elimination phase is already too high. Try comparing it with the cost of watching it in Malaysia or Thailand.""","""Setuju makin naik fase wajar kalau tiket naik. Tapi, harga dasar di saat fase penyisihan sudah kemahalan. Coba bandingkan harga menonton di malaysia, thailand."""
"""Me and my wife were tempted to visit this restaurant when our family was visiting Pontianak last week, because our trip advisor said that Abang Kepiting was the most popular resto in Pontianak. Around 7 at night, me and my wife had arrived and the place wasn't that crowded, with only around 4 tables filled, since the two of us just wanna chat.""","""Saya dan isteri tergoda untuk mengunjungi restoran ini saat kami sekeluarga berkunjung ke pontianak minggu lalu, karena berdasarkan penilaian trip advisor abang kepiting merupakan restoran terpopuler di pontianak. Malam sekitar jam 7 saya dan isteri sudah sampai dan mendapati suasana restoran yang tidak terlalu ramai terisi sekitar 4 meja saja, karena kami hanya berdua ingin berbincang."""
"""I arrived in this restaurant near lunchtime. At first there were only a few customers eating here. However, as soon as lunchtime came, the restaurant was flooded by the people of Makassar city. The number of Makassarese people coming here to have lunch just goes to show that this is the number one restaurant in Makassar city.""","""Saya tiba di rumah makan ini pada saat menjelang jam makan siang. Awal saya tiba rumah makan ini hanya ada beberapa pengunjung yang sedang bersantap. Namun, ketika tiba jam makan siang rumah makan ini penuh dengan para warga kota makassar. Banyaknya warga kota makassar yang tiba untuk makan siang menggambarkan bahwa tempat ini merupakan rumah makan favorit di kota makassar."""
"""The PIK Waterboom Jakarta tickets are rising in price.""","""Tiket waterboom PIK jakarta dikabarkan naik"""
"""The location's pretty far from the city of Bandung and now there are two toll gates to go through in order to go to The Peak witha total cost of 5000 rupiah. This is basically like extortion since you wouldn't be able to go to The Peak without going through these two gates.""","""Lokasi agak jauh dari kota bandung dan sekarang ada 2 gerbang pembayaran untuk bisa ke the peak dengan total 5000 rupiah. Ini seperti pemaksaan untuk pungutan liar karena anda tidak akan bisa ke the peak tanpa melewati kedua gerbang ini."""
"""Here's the full data, don't believe the KPK, it's all lies. This case was audited 10 years ago and nothing was missing. Because after that, there was an audit about fund allocation for special needs. If they wanted to, they could have had another audit. Just forget about it. The Century case was just a scandal to protect certain elites.""","""Data lengkap, jangan percaya kpk ini bohong. Kasus ini di audit 10 tahun lalu dan sudah lengkap. Karena habis itu ada audit aliran dana dengan tujuan khusus. Kalau mau kan minta audit lagi. Sudahlah. Kasus century itu skandal melindungi elit tertentu."""
"""Very recommended, the food is absolutely delicious! We sat on in the upper gazebo when the sun is setting, dinner with sunset! And it's so pretty.""","""Sangat dianjurkan, masakan enak banget benar-benar! Kita duduk di tempat saung yang di bagian atas pas jam-jam matahari terbenam, makan malam ditemani sunset deh! Dan itu baguus banget."""
"""Rcti has too many useless advertisements, very annoying""","""Rcti terlalu banyak iklan tidak jelas, sangat menggangu"""
"""Okay, aside from checking out theme parks, I also like culinary travels. Since coming to Bandung, the food I've been craving for are siomay and batagor. For batagor I'm already familiar with the legendary taste of Batagor Kingsley. But when it comes to siomay, I think travelers would love to treat their bellies in Saung Siomay. The title says it all, the texture is soft, and the sauce just hits the spot.""","""Baik, selain wisata wahana saya juga suka wisata kuliner. Sejak saya di bandung kuliner yang paling saya buru adalah siomay dan batagor. Mungkin kalau batagor saya sudah akrab dengan batagor kingsley yang rasanya melegenda. Untuk urusan siomay, rasanya tidak salah kalau traveler memanjakan perutnya di saung siomay ini. Seperti judulnya. Teksturnya lembut, bumbunya juga pas kena banget."""
"""The orders come out quickly, the servers are kind and of course the food is delicious. The price is just about right considering the taste.""","""Penyajian cukup cepat, pelayanan baik dan pastinya masakan enak. Untuk harga relatif sesuai dengan rasa masakannya."""
"""I'm about to explode at Indosat, it has been two days and their signal is still horrible""","""Mau marah sama indosat, sudah dua hari sinyal begini banget"""
"""Indosat should just go bankrupt, even in my place the signal can sometimes go off and on and off and on, even though I'm in the region of Semarang""","""Sudah indosat bangkrut saja, di tmpt ku saja sinyal tb2 kdg hilang muncul hilang muncul, padahal daerah kota semarang"""
"""Buying PLN prepaid credits through Mandiri Mobile becomes inefficient because I have to call 14000 to get the token / not automatic""","""Transaksi beli pulsa PLN pra bayar melalui mandiri mobile menjadi tidak efisien karena harus telepon 14000 untuk dapat tidak tokennya / tidak otomatis."""
"""Meetings aren't always held in a closed room, this resto can also be a fun meeting place. Don't forget to order the fried rice with jerky and the Teh Tarik""","""Tidak mesti di ruang tertutup buat pertemuan, pertemuan di resto ini juga asik. Jangan lupa memesan nasi goreng dendeng sama teh tarik."""
"""Samsung Galaxy S has been released last night. I was disappointed with the boring design. Only 70% of my dream came true. No use dreaming about it all the time""","""Samsung galaxy s sudah diluncurkan semalam. Saya kecewa desainnya standar banget. Harapan saya cuma terwujud 70%. Percuma terbawa sampai mimpi."""
"""Shame that the restaurant was dirty. Saw a tiny cockroach near the clean vegetable plates used to serve food. And there was another small cockroach on the seats. Hope they can improve the cleanliness of this place.""","""Sayang restorannya kotor. Lihat kecoa kecil di dekat piring-piring sayur bersih yang dipakai untuk menyajikan makanan. Dan ada kecoa kecil juga di tempat duduknya. Berharap kebersihan tempat diperbaiki."""
"""Yes, the cost is 120 thousand. I've also checked it on Tokopedia.""","""Iya harganya 120 ribu. Saya juga sudah cek tokopedia."""
"""Glad that we could end our trip in Bandung with a visit to The Valley on November 2nd. That day we were holding a farewell party for our friend who was gonna move to a new office. The menu had a lot to choose from, but I immediately went for the ribs. For me, the taste was well worth the price. Top notch.""","""Senang rasanya dapat mengakhiri perjalanan kita di bandung dengan kunjungan terakhir kita berhenti di the valley pada tanggal 2 november. Hari itu adalah acara dalam menrayakan hari perpisahan bersama teman kita yang baru akan pindah ke kantor baru. Menunya sangat bervariatif tetapi ribs langsung menjadi pilihan saya. Menurut saya, harganya sebanding dengan rasa makanan. Top."""
"""The Fungka Permata V motor vessel went up in flames, killing at least 13 people. ""","""Kapal km fungka permata v terbakar, sedikitnya 13 tewas"""
"""The cease-and-desist order issued by Rohayani, a tobacco addict, against PT Gudang Garam Tbk. and PT Djarum recently brought up other issues.""","""Somasi yang dilayangkan rohayani, seorang pecandu rokok, kepada pt gudang garam, tbk dan pt djarum belakangan memunculkan isu lain."""
"""Instead of getting money using BCA credit card, I lose big time.""","""Pakai kartu kredit bca tidak untung malah rugi besar"""
"""This restaurant is not just a place to eat, but also a tourist attraction. The location is very cold, the place is good, cozy, and has an eye-catching scenery. The available menu also varies and tastes good. No need to wait long for the food. The price is also relatively affordable. Great place to take pictures, too.""","""Restoran ini bukan sekadar tempat makan biasa, tapi juga bisa dijadikan tempat wisata. Lokasinya sangat dingin, tempatnya juga bagus, nyaman, dengan pemandangan yang eye catching. Menu yang disediakan juga beragam dengan rasa yang enak. Tidak perlu menunggu lama dalam penyajian makanannya. Harga juga relatif terjangkau. Untuk tempat berfoto juga bagus."""
"""The location is easily accessible, the restaurant layout is average, the menu is quite varied and the food is delicious, the price is affordable""","""Lokasi mudah dijangkau, penataan restoran average, menu makanan lumayan variatif dan rasa masakannya enak, harga terjangkau"""
"""Well we just can't win. When there's traffic people whine, and when there's none they ponder""","""Ya serba salah memang, macet mengeluh, tidak macet heran."""
"""Thie diner is located on Abdurahman Saleh Street, it's pretty comfortable and clean, lots of options for the dishes. Tastes pretty good and worth the price.""","""Rumah makan ini terletak di jalan abdurahman saleh, tempatnya nyaman dan bersih, menu masakannya banyak pilihannya. Rasanya cukup enak dan harganya juga sepadan dengan rasa masakannya."""
"""I sometimes think about how it feels to be a woman in a gym. Lots of guys and middle-aged men are staring. Must be very uncomfortable""","""Kadang mikir gimana ya rasanya jadi perempuan di gym. Banyak mas mas dan om om melihat. Pasti risih dan tidak nyaman."""
"""We went to eat at that resto, inviting my brother's family. They all absolutely loved the food quality here. We ordered salted egg fried shrimp and the taste was better than a resto in a five-star hotel. Highly recommended""","""Kami datang makan ke restoran itu, mengajak keluarga kakak saya. Mereka semua sangat menyukai kualitas masakan di sini. Kami pesan udang goreng telor asin dan rasanya sangat enak dan melebihi kualitas resto di hotel bintang lima. Sangat direkomendasikan."""
"""Hasil terjemahan di sheet translation sudah benar, namun di sini tidak lengkap""","""Pelayanan solaria sungguh tidak memuaskan hampir di seluruh cabang yang ada di Jakarta. Tidak rekomendasi banget."""
"""My friend applies for a position in Tokopedia""","""Temanku melamar pekerjaan di tokopedia"""
"""Not just family business. But also keeping the country's interests without clashing with global interests.""","""Bukan cuma bisnis keluarga. Tetapi menjaga kepentingan negara dan masyarakat tanpa membenturkannya dengan kepentingan global."""
"""Located in the hills, which makes the air and views really comfortable. Aside from that, the Nusantara cuisine menu has a lot of variety, there're also steaks and pastas. ""","""Terletak di daerah perbukitan sehingga udara dan pemandangannya sangat nyaman, di samping itu terdapat berbagai pilihan menu makanan nusantara, steak maupun pasta juga ada."""
"""Great, thanks for the detailed and clear answer.""","""Baik, terima kasih atas jawaban yang begitu lengkap dan jelas ya"""
"""The fried chicken was good, and so was the fried eggplant. A shame that the fried jengkol was all out because I'd like to try some. Oh yeah, the kefongfong juice was also fresh""","""Ayam gorengnya enak, terong gorengnya juga. Sayang mau coba jengkol gorengnya sudah habis. Oh ya jus kefonfongnya juga segar."""
"""Monday mornings are never friendly, from my messy jilbab, heavy traffic, the ungodly crowded Transjakarta to Senayan, clocking in work way past 8, not attending morning prayers""","""Senin pagi memang selalu tidak bersahabat, mulai dari pakai jilbab berantakan, jalanan macet, transjakarta arah senayan ramainya astaghfirullah, absen telat lewat jam 8, ga ikut doa pagi."""
"""Jealousy doesn't feel good at all. Jealousy eats away at your heart. Jealousy is pain, if not expressed""","""Cemburu itu rasanya tidak enak. Cemburu itu makan hati. Cemburu itu sakit, kalau tidak diungkapkan"""
"""What makes Holycow better than the other steak restos is their amazing wagyu dishes. My favorite has to be the wagyu sirloin steak coupled with mushroom sauce. It's so good. The thick meat goes along perfectly with boiled corn kernels, spinach, and mash potatoes. Absolutely delicious.""","""Keunggulan holycow dibanding resto steak lain adalah wagyunya yang mantap. Favorit saya adalah wagyu sirloin steak yang dinikmati dengan mushroom sauce. Rasanya mantap. Dagingnya tebal dan dinikmati dengan butiran jagung rebus, sayur bayam dan masih potatto. Enak dan mantap."""
"""Hello Ditha, we are here to infom you that we have received your payment in our account. However, your ordering process is unsuccessful.""","""Hai ditha, kami informasikan bahwa pembayaran kamu telah masuk ke akun rekening kami namun pemesanan tidak berhasil."""
"""But if you want to look for it tomorrow, it will be on the shelf near the Wardah creams, across the shelves with the Citra lotions, sister.""","""Cuma kalau besok mau mencari, dia ada di rak yang dekat cream krim wardah bersebrangan sama rak lotion citra, sister."""
"""A resto with the concept of bungalows located within a residential complex. The dishes served vary from Sundanese, Western, etc. the air is pretty cold at night or when it's raining so it's advisable to bring a jacket. Stones are used to walk fromo bungalow to bungalow so sometimes ithey get slippery when it's raining.""","""Resto dengan konsep saung2 yang terletak di dalam komplek perumahan. Makanan yang disajikan beragam mulai dari sundanese, makanan barat, dll. udara cukup dingin di malam hari atau ketika hujan jadi disarankan membawa jaket. Jalan antar saung menggunakan batu-batu sehingga kadang-kadang licin ketika hujan"""
"""The place is so cozy, the food tastes great, and the coffee is amazing. Perfect place for hanging out with friends or dinner""","""Tempatnya nyaman banget, makanannya enak, kopinya enak. Pas buat nongkrong bareng teman-teman atau makan malam."""
"""If my quota isn't back by tomorrow, I'm gonna be so mad at Indosat""","""Kalau kuota saya besok tidak balik, saya mau marah-marah ke indosat"""
"""The place's comfy, and the food's great. If you wanna chat around for a long while, this is the place. There're lots of lesehan spots, and they're so cozy when coupled with the breezy air""","""Tempatnya nyaman, makanan lumayan enak. Buat yang mau ngobrol lama-lama cocok sekali ada banyak tempat lesehan nyaman banget plus udara yang sejuk."""
"""The food is quite good. The location is ideal, near the mall's escalators. Overall, absolutely amazing""","""Rasa makanan cukup enak. Lokasi cukup strategis dekat eskalator turun dan naik mal. Secara keseluruhan baik mantap."""
"""Hello, yes, you can pay your water bills through Bukalapak""","""Hai, ya, silakan kamu dapat mencoba lakukan pembayaran pdam di bukalapak."""
"""Enka Olshop, trusted, items are all good.""","""Enkaolshop, terpercaya, barangnya bagus bagus"""
"""Originally, this meatballl resto was located in Karapitan Street as far as I know, now it's true that it's spread across several places in Bandung. The food served does not only consist of meatballs, but there are other side dishes in addition. For the flavour, it's nothing too special, For the price, considering the size and price of meatballs in Bandung, it's quite on the expensive side. Plus, the service is a bit lacking in Ciwalk.""","""Aslinya ini basa berada di jalan karapitan setahu saya, sekarang memenag sudah tersebar di beberapa tempat di bandung. Makanannya juga tidak hanya bakso, tetapi ada beberapa makanan tambahan yang lain. Untuk rasa juga tidak terlalu spesial. Untuk harga dengan ukuran harga bakso di bandung cukup mahal. Ditambah pelayannannya yang kurang bagus di ciwalk."""
"""You should still be able to receive a cashback of 5 million by subscribing to the 500k Iplan package for 24 months,. You can also get 0% instalment using BCA, BNI, Mandiri, or CIMB Niaga credit card""","""Seharusnya masih berhak mendapatkan cahsback 5 j uta dengan cara berlangganan paket iplan 500k selama 24 bulan kak. Dan bisa juga cicilan 0% menggunakan cc bca, bni, mandiri, cimb niaga."""
"""I don't regret eating at Solaria. The place's clean and perfect for family meals. The food also comes out quickly after ordering""","""Tidak menyesal juga makan di solaria tempatnya bersih dan cocok buat keluarga juga. Makanan cepat keluar setelah dipesan."""
"""Just kick them out of the police already. Rather than giving the corp a bad name.""","""Copot dari keanggotaan polisi saja. Daripada jadi perusak nama baik korp."""
"""I regret getting in that store. I ended up buying things I'll never use. It was really an impulsive buy from my part.""","""Menyesal tadi ke toko itu. Malah beli hal-hal yang tidak akan terpakai. Cuma karena lapar mata jadi beli:"""
"""Ate on the roadside, unappetising food, bad service, too expensive""","""Makan di pinggir jalan, makanannya tidak enak, pelayanan tidak bagus, harga mahal."""
"""To request for a collaboration/sponsorship, Ms. Elsa can contact: the Corporate Secretary of Mandiri Bank, Ltd.""","""Untuk mengajukan kerjasama / sponsorship ibu elsa dpt menghubungi: Pt. Bank mandiri persero tbk corporate secretary"""
"""Please produce more Indomie Goreng Sate. Been looking for it everywhere but still nothing. The taste is so good and different from sate flavours from other brands.""","""Produksi lagi dong indomi goreng sate. Dicari-cari sudah tidak ada. Rasanya enak beda dngan rasa sate merk lain"""
"""Early in the morning and Telkomsel's signal makes me wanna go mad.""","""Pagi pagi ingin marah dengan sinyal telkomsel."""
"""Queue takes so long, food takes so long, too, and the taste is just average with a ridiculous price.""","""Antriannya lama, makanannya juga lama dan rasa makanannya biasa saja dan mahal"""
"""My God XL is so horrible now. Time to switch providers. High prices, low quality""","""Parah banget xl deh sekarang sepertinya, harus ganti provider lain cuma mahal doang kualitas jelek"""
"""The night Mutiara Timur train from Surabaya - Banyuwangi. It's executive but the seat is really gross and dirty. Not worth the luxurious price, absolutely disappointing""","""Kereta mutiara timur malam, sby - bnywangi eksekutif tetapi kursi jorok dan kotor sekali. Tidak sesuai dengan harga yang sangat mahal, sangat mengecewakan"""
"""I chose this eatery in Saung with a ricefield view and ordered the complete Nasi Timbel, Surabi Oncom, and  Colenak. The order was served without waiting too long. Only disappointed with the Serabi. Below my expectations. Not delicious.""","""Saya memilih tempat makan di saung dengan pemandangan sawah memesan nasi timbel komplit, surabi oncom dan colenak pesanan datang tidak harus menunggu lama. Hanya saja saya kecewa dengan serabinya. Di luar ekspektasi saya. Tidak enak."""
"""Pos Indonesia's services are so pathetic nowadays.""","""Payah sekali pelayanan pos indonesia saat ini"""
"""My Indihome got some problems again. I was working when all of a sudden the connection was cut, my modem blinked red, the wifi had only been fine for a week, and then it got issues again. You've got a lot of problems lately huh, Indihome Telkom? Bill's always high, but still disappoints.""","""Ini indihome saya gangguan lagi ini. Saya lagi ada kerjaan tiba-tiba terputus, merah kedip-kedip, baru seminggu baik wifinya, sudah gangguan lagi. Indihome telkom sekarang banyak gangguan ya, bayar selalu mahal, mengecewakan sekali."""
"""In my opinion, this Bebekk Garang has plenty of duck menu variants available. I like the combination between the duck and the Sambal, the flavour is just right. The price ranges from 20-30 thousand and I  believe it to be a reasonable price for the food here.""","""Menurut saya bebek garang ini punya varian menu bebek yang cukup banyak. Saya suka perpaduan antara bebek dan sambalnya, rasanya pas. Untuk harga berkisar 20 - 30 ribu dan menurut saya cukup sepadan dengan rasa dari makanan di sini."""
"""Perfect for meetings, weddings, and photoshoots. The atmosphere is calming, soothing, and cool""","""Cocok buat pertemuan, acara pernikahan, pemotretan. Suasananya tenang, santai, adem."""
"""Every time I come here, I just wanna stay here for a long time and not go home. The service is hospitable and the place feels just like home.""","""Setiap kali ke sini saya ingin berlama-lama dan tidak mau pulang cepat. Pelayanan yang ramah dan tempat yang nyaman."""
"""This restaurant offered many highly modified Balinese cuisine that felt like they were more tailored towards the customers, most of which weren't native Balinese people. The three pictures we attached are of the food we ordered.""","""Restoran ini menyajikan masakan bali yang sarat modifikasi sehingga terkesan disesuaikan dengan lidah konsumen yang nota bene bukan orang bali. Tiga photo yang saya lampirkan itu adalah makanan yang kami pesan."""
